Date              C           SP
20010102      -0.011016     -0.028032
20010103       0.087871      0.050099
20010104       0.013652     -0.010552
20010105      -0.035915     -0.026242
20010108      -0.005821     -0.001918
20010109      -0.022248      0.003812
20010110       0.033533      0.009586
20010111       0.019699      0.010318
20010112      -0.034091     -0.006406
20010116       0.029412      0.006319
20010117      -0.016000      0.002126
20010118       0.008130      0.013915
20010119       0.002304     -0.004028
20010122      -0.009195      0.000268
20010123       0.018561      0.013032
20010124       0.017084      0.002867
20010125      -0.008959     -0.004977
20010126      -0.002260     -0.001886
20010129       0.018347      0.006805
20010130       0.000000      0.007008
20010131      -0.004093     -0.005620
20010201       0.005003      0.005461
20010202      -0.011584     -0.017474
20010205       0.015146      0.003587
20010206      -0.020781     -0.001514
20010207      -0.013967     -0.008408
20010208      -0.004783     -0.006235
20010209      -0.000924     -0.013336
20010212       0.025902      0.011827
20010213      -0.015509     -0.008652
20010214      -0.017219     -0.002184
20010215       0.007828      0.008124
20010216      -0.001295     -0.018905
20010220      -0.051852     -0.017357
20010221      -0.056641     -0.018508
20010222       0.006211     -0.001952
20010223      -0.008230     -0.005555
20010226       0.043568      0.017490
20010227      -0.009940     -0.007660
20010228      -0.012450     -0.014309
20010301      -0.010777      0.001040
20010302      -0.013361     -0.005680
20010305       0.005208      0.005858
20010306       0.007876      0.009981
20010307       0.037425      0.006452
20010308       0.005946      0.002259
20010309      -0.031921     -0.024764
20010312      -0.041319     -0.043181
20010313       0.027389      0.014829
20010314      -0.072122     -0.025842
20010315       0.033408      0.005871
20010316      -0.019397     -0.019624
20010319       0.017582      0.017627
20010320      -0.043197     -0.024077
20010321      -0.046275     -0.017924
20010322      -0.039053     -0.004064
20010323       0.055419      0.019909
20010326       0.031505      0.011282
20010327       0.050905      0.025575
20010328      -0.029064     -0.024430
20010329      -0.008869     -0.004630
20010330       0.006264      0.010784
20010402       0.016007     -0.012462
20010403      -0.043764     -0.034393
20010404      -0.022883     -0.002901
20010405       0.053864      0.043680
20010406      -0.050000     -0.019984
20010409       0.001871      0.008117
20010410       0.060005      0.027066
20010411       0.020705     -0.002131
20010412       0.020716      0.015104
20010416      -0.007400     -0.003228
20010417       0.020660      0.010282
20010418       0.044449      0.038890
20010419       0.004995      0.012551
20010420      -0.017495     -0.008551
20010423      -0.018818     -0.014980
20010424       0.004331     -0.012161
20010425       0.012320      0.015941
20010426       0.004260      0.004696
20010427       0.028277      0.015010
20010430      -0.034571     -0.002865
20010501       0.025432      0.013590
20010502       0.003968      0.000782
20010503       0.010672     -0.014873
20010504      -0.004314      0.014440
20010507      -0.002560     -0.002447
20010508      -0.016782     -0.001828
20010509      -0.007028     -0.004488
20010510       0.003033     -0.000287
20010511      -0.006855     -0.007577
20010514       0.017052      0.002609
20010515       0.008982      0.000416
20010516       0.024530      0.028453
20010517      -0.021240      0.002724
20010518       0.003354      0.002693
20010521       0.013763      0.016154
20010522       0.019201     -0.002628
20010523      -0.010276     -0.015526
20010524       0.010767      0.003196
20010525      -0.013506     -0.011816
20010529      -0.005014     -0.007794
20010530      -0.015891     -0.015655
20010531       0.009256      0.006202
20010601       0.010732      0.003862
20010604       0.009266      0.005108
20010605       0.005547      0.012990
20010606      -0.013506     -0.010549
20010607      -0.008292      0.005457
20010608      -0.009333     -0.009397
20010611      -0.010795     -0.008356
20010612      -0.000397      0.001164
20010613      -0.009726     -0.011347
20010614      -0.025656     -0.017502
20010615       0.014195     -0.004517
20010618       0.009939     -0.004883
20010619       0.019281      0.003434
20010620      -0.001970      0.008709
20010621       0.057256      0.011364
20010622      -0.002801     -0.009450
20010625      -0.015918     -0.005509
20010626      -0.007612     -0.001510
20010627      -0.008629     -0.004676
20010628       0.017408      0.012493
20010629       0.004563     -0.001452
20010702       0.012112      0.010037
20010703      -0.008040     -0.001827
20010705      -0.014515     -0.012321
20010706      -0.028500     -0.023498
20010709       0.000197      0.006879
20010710      -0.033071     -0.014398
20010711      -0.030945     -0.001134
20010712       0.023109      0.023691
20010713       0.003285      0.006241
20010716       0.005935     -0.010883
20010717       0.031740      0.009971
20010718      -0.001775     -0.005542
20010719      -0.009285      0.006053
20010720       0.008175     -0.003432
20010723      -0.006725     -0.016369
20010724      -0.024890     -0.016272
20010725       0.007760      0.016080
20010726       0.013171      0.010449
20010727       0.001000      0.002402
20010730      -0.008192     -0.001078
20010731       0.011483      0.005571
20010801       0.008564      0.003880
20010802       0.011256      0.003964
20010803       0.001567     -0.005243
20010806      -0.014277     -0.011422
20010807       0.007936      0.003265
20010808      -0.023622     -0.017328
20010809      -0.003831     -0.000084
20010810       0.004655      0.005687
20010813      -0.010274      0.000949
20010814      -0.007735     -0.003828
20010815      -0.003077     -0.007339
20010816      -0.014815      0.003090
20010817      -0.026734     -0.016663
20010820       0.017167      0.008124
20010821      -0.010549     -0.012079
20010822       0.002132      0.006956
20010823      -0.004468     -0.002763
20010824       0.032272      0.019654
20010827      -0.006211     -0.004827
20010828      -0.019792     -0.015010
20010829      -0.012752     -0.011115
20010830      -0.019806     -0.017038
20010831       0.005930      0.004030
